, 서울,gu,dong,school_name,school_walk_min,time_gangnam,time_yeouido,time_cityhall,complex_name,building_type,year_built,complex_size,households,layout_type,rooms,bathrooms,pyeong,peak_price,current_price,price_jeonse,drop_from_peak_pct,expert_comment,risk_comment,jeonse_ratio,price_gap
815,도봉4,도봉, 도봉구 도봉로163길 46,서울오봉초,5 ,62 ,72 ,55 ,도봉 래미안도봉,준신축,2005 ,소단지,448 ,계단식,3 ,1 ,24 ,74000 ,60000 ,35000 ,-19%,,,0.58 ,25000 
312,강북2,강북,강북구 솔샘로 174,서울삼양초,5 ,52 ,55 ,40 ,미아 SK북한산시티,준신축,2004 ,대단지,3830 ,계단식,3 ,2 ,24 ,78000 ,62000 ,37000 ,-21%,,,0.60 ,25000 
724,구로3,구로,구로구 개봉로3길 84,서울개명초,5 ,56 ,36 ,49 ,개봉 삼환,구축,1995 ,중단지,783 ,복도식,3 ,1 ,24 ,69000 ,62000 ,35000 ,-10%,,,0.56 ,27000 
740,노원2,노원,노원구 섬밭로 285,서울중계초,3 ,52 ,62 ,45 ,중계그린,구축,1990 ,대단지,3481 ,복도식,3 ,1 ,21 ,72000 ,62000 ,28000 ,-14%,,,0.45 ,34000 
757,노원4,노원, 노원구 마들로 53,서울연지초,5 ,52 ,42 ,35 ,월계 초안산쌍용스윗닷홈,준신축,2006 ,소단지,225 ,계단식,3 ,2 ,33 ,76500 ,62000 ,45000 ,-19%,,,0.73 ,17000 
718,구로4,구로,구로구 경인로31길 63,서울개웅초,6 ,53 ,33 ,46 ,개봉 한진타운,준신축,2000 ,대단지,1371 ,복도식,3 ,1 ,24 ,66500 ,63000 ,35000 ,-5%,,,0.56 ,28000 
770,노원2,노원, 노원구 노원로 495,서울상계초,3 ,48 ,60 ,40 ,상계 주공7,구축,1988 ,대단지,2634 ,복도식,2 ,1 ,21 ,80000 ,63000 ,29000 ,-21%,,,0.46 ,34000 
785,노원3,노원, 노원구 광운로 66,서울선곡초,4 ,45 ,42 ,32 ,공릉 동신,구축,1999 ,소단지,452 ,복도식,3 ,1 ,24 ,63000 ,63000 ,34000 ,0%,,,0.54 ,29000 
805,도봉3,도봉, 도봉구 시루봉로 58,서울숭미초,6 ,62 ,74 ,55 ,쌍문 삼성래미안,준신축,2002 ,소단지,407 ,계단식,3 ,2 ,24 ,69900 ,63000 ,38000 ,-10%,,,0.60 ,25000 
1271,서대문4,서대문, 서대문구 세검정로 10,서울홍은초,7 ,55 ,38 ,25 ,홍은벽산,구축,1997 ,대단지,1329 ,복도식,2 ,1 ,25 ,69000 ,63500 ,39000 ,-8%,,,0.61 ,24500 
